LATITUDE, LONGITUDE,F00,F01,F02,F03,F04,F05,F06,F07,F08,F09,F10,F11,F12,F13,F14,F15,F16,F17,F18
39.98802,-122.08610,13.25000,11.91600,12.85000,12.44600,11.61600,11.23000,11.01000,11.12000,11.22800,12.53200,12.32100,13.34300,12.27000,13.47800,13.35400,13.78800,12.10400,12.20900,12.71300
39.98090,-122.12005,12.98800,11.95600,12.14000,12.07700,11.56400,11.10600,10.87400,10.76100,10.72500,12.33800,11.97100,13.07100,12.82000,13.39700,13.30000,13.36300,12.16600,12.07200,12.76300
39.95231,-122.25577,11.52400,10.97600,10.73000,10.61300,11.23200,11.26700,11.05800,10.77800,10.47400,11.84400,12.15500,13.32300,14.30700,13.03500,12.42300,11.46500,12.45300,12.64700,12.39500
39.94514,-122.28969,11.46700,11.11400,10.81800,10.32100,10.83800,11.05800,10.79600,10.40600,10.60300,11.87100,11.12900,12.12300,14.49500,12.60000,13.40100,11.71500,12.47400,12.41500,12.49400
40.15064,-121.15796,11.37100,10.48500,15.09000,11.96600,12.14600,13.10300,11.34800,11.14300,12.91500,13.77900,14.51700,14.32000,14.66100,13.68700,14.32700,14.61500,13.40700,12.23900,12.24700
40.14378,-121.19208,11.14800,11.04100,11.44200,11.53700,12.59100,12.59800,12.75700,11.94500,12.80800,11.86100,15.25500,14.03700,13.71900,14.47200,15.38400,14.44200,13.07000,12.72500,11.99500
39.98332,-121.97496,12.02400,12.66400,13.78800,13.24700,12.43900,11.70700,10.78000,11.70100,11.36100,13.14800,11.73400,13.06800,13.60300,13.83100,14.04800,14.28800,13.55600,12.73500,12.31300
39.96912,-122.04287,12.59700,12.62200,13.31300,12.68300,11.84700,11.37700,11.12200,11.30200,11.14300,12.53200,11.77100,13.11800,12.94300,13.35900,14.10700,13.41300,12.68100,12.29700,12.58100
39.95489,-122.11075,12.70300,11.93200,12.30200,11.94000,11.75100,10.91900,10.75700,10.68600,10.82500,12.27500,12.27100,13.00300,12.65700,13.17200,13.11200,13.10600,12.16600,11.97800,12.67600
39.91914,-122.28033,11.50200,10.81200,10.99900,10.32500,10.94400,10.96100,10.55900,10.30300,10.62800,11.75800,11.67300,12.05100,14.30800,12.46700,12.98700,11.68300,12.30000,12.21000,12.82800
40.12456,-121.14900,10.07600,8.39100,9.37900,9.36300,9.64100,8.98800,9.26900,8.83700,9.29000,7.71900,9.24800,11.74000,11.73600,11.71200,12.15800,11.52400,12.10900,10.82500,11.00400
39.97851,-121.86384,13.08800,13.52200,13.95200,13.29700,12.47100,12.68800,12.73700,12.62200,12.43400,13.32700,13.31400,13.54300,14.49100,14.98600,14.82900,14.66900,15.59500,14.58700,12.93600
39.96437,-121.93176,12.26500,12.93400,13.82400,13.07200,12.53000,11.99600,11.77500,11.85700,11.47400,13.04600,11.59300,12.59300,13.93500,13.72500,13.94200,14.30600,14.55900,12.69800,12.39400
